img_url,name,price_list,shop_list
https://s.ek.ua/jpg/1602903.jpg,Panasonic DC-FZ1000 II," ,25 999 грн., ,35 196 грн., ,35 196 грн., ,44 740 грн.","Panashop.com.ua,click24.biz,Click24.in.ua,Ok24.in.ua"
https://s.ek.ua/jpg/1614931.jpg,Sigma fp," ,67 320 грн., ,109 902 грн., ,94 438 грн., ,94 438 грн.","Denika.ua,click24.biz,Click24.in.ua,click24.biz"
https://s.ek.ua/jpg/511253.jpg,Panasonic DMC-TZ70," ,12 949 грн., ,7 095 грн., ,7 425 грн., ,7 066 грн., ,7 212 грн., ,7 200 грн., ,12 826 грн.","Stylus.ua,Orb.com.ua,Denika.ua,Tendo.com.ua,Openshop.ua,KT-group.ua,Цифра"
https://s.ek.ua/jpg/179910.jpg,Canon EOS 5D Mark III," ,70 400 грн., ,93 436 грн., ,159 386 грн.","Horoshiy.com.ua,Click24.in.ua,Click24.in.ua"
https://s.ek.ua/jpg/268610.jpg,Canon EOS 700D,[None],Horoshiy.com.ua
https://s.ek.ua/jpg/324572.jpg,Nikon D5300,[None],Horoshiy.com.ua
https://s.ek.ua/jpg/1712567.jpg,Sony A9 II," ,149 999 грн., ,149 999 грн.","Moyo.ua,Sony Centre"
https://s.ek.ua/jpg/1644043.jpg,Sony A6100," ,48 918 грн., ,48 918 грн., ,43 451 грн., ,40 119 грн., ,57 064 грн., ,65 950 грн., ,40 119 грн.","click24.biz,Click24.in.ua,Ok24.in.ua,click24.biz,Click24.in.ua,Click24.in.ua,Click24.in.ua"
https://s.ek.ua/jpg/599426.jpg,Sony RX100 IV," ,69 561 грн., ,68 868 грн., ,30 794 грн.","Stylus.ua,Цифра,Smartmag.biz.ua"
https://s.ek.ua/jpg/725955.jpg,Canon Digital IXUS 285 HS," ,14 505 грн., ,14 505 грн., ,14 505 грн., ,14 505 грн.","click24.biz,Click24.in.ua,click24.biz,Click24.in.ua"
https://s.ek.ua/jpg/1982006.jpg,Canon PowerShot Zoom,[None],FOXTROT.UA
https://s.ek.ua/jpg/683573.jpg,Sony A68,[None],Click.ua
https://s.ek.ua/jpg/456537.jpg,Canon PowerShot SX60 HS,[None],Horoshiy.com.ua
https://s.ek.ua/jpg/133822.jpg,Nikon D5100,[None],Horoshiy.com.ua
https://s.ek.ua/jpg/268684.jpg,Canon EOS 100D,[None],Horoshiy.com.ua
https://s.ek.ua/jpg/1678230.jpg,Olympus OM-D E-M5 III," ,42 351 грн., ,42 500 грн., ,41 576 грн., ,37 200 грн., ,41 580 грн., ,41 470 грн., ,46 174 грн.","Stylus.ua,KT-group.ua,Цифра,Domus.co.ua,Ibelieve.com.ua,Fragment.com.ua,click24.biz"
https://s.ek.ua/jpg/2139373.jpg,Nikon Z9," ,218 628 грн., ,215 500 грн., ,234 927 грн., ,234 306 грн., ,215 599 грн.","ABCphoto.com.ua,KT-group.ua,Ibelieve.com.ua,Fragment.com.ua,Cthp.net.ua"
https://s.ek.ua/jpg/1098068.jpg,Sony A9," ,161 299 грн., ,96 000 грн., ,153 897 грн., ,153 897 грн.","Tv-project.com,Horoshiy.com.ua,click24.biz,Click24.in.ua"
https://s.ek.ua/jpg/1677527.jpg,Fujifilm X-Pro3," ,110 381 грн., ,110 381 грн., ,98 925 грн., ,98 925 грн., ,104 413 грн.","click24.biz,Click24.in.ua,click24.biz,Click24.in.ua,Click24.in.ua"
https://s.ek.ua/jpg/1523971.jpg,Fujifilm X-T30," ,65 427 грн., ,65 427 грн., ,54 973 грн., ,54 973 грн., ,54 973 грн., ,81 327 грн.","click24.biz,Click24.in.ua,click24.biz,Click24.in.ua,Click24.in.ua,Click24.in.ua"
https://s.ek.ua/jpg/526758.jpg,Canon EOS 5DS," ,57 150 грн., ,64 948 грн.","Easymac.com.ua,Horoshiy.com.ua"
https://s.ek.ua/jpg/384833.jpg,Pentax 645Z," ,274 776 грн., ,274 776 грн.","click24.biz,Click24.in.ua"
https://s.ek.ua/jpg/96694.jpg,Olympus E-PL1," ,8 799 грн., ,8 799 грн.","click24.biz,Click24.in.ua"
https://s.ek.ua/jpg/2084272.jpg,Fujifilm GFX-50S II,[None],click24.biz
https://s.ek.ua/jpg/1443696.jpg,Sony A6500,[None],Tv-project.com
https://s.ek.ua/jpg/1035947.jpg,Pentax KP,[None],Click24.in.ua
https://s.ek.ua/jpg/651177.jpg,Sony A7s II,[None],Tv-project.com
https://s.ek.ua/jpg/599463.jpg,Sony A7r II,[None],Horoshiy.com.ua
https://s.ek.ua/jpg/355777.jpg,Nikon Coolpix S9700,[None],Smartmag.biz.ua
https://s.ek.ua/jpg/1867077.jpg,Olympus OM-D E-M10 IV," ,34 791 грн., ,34 000 грн., ,34 404 грн., ,35 343 грн., ,30 000 грн., ,35 250 грн., ,39 378 грн.","Stylus.ua,KT-group.ua,Цифра,Ibelieve.com.ua,Horoshiy.com.ua,Fragment.com.ua,click24.biz"
https://s.ek.ua/jpg/1516614.jpg,Panasonic DC-S1," ,67 799 грн., ,79 999 грн., ,67 799 грн., ,67 799 грн., ,95 000 грн., ,67 799 грн., ,123 928 грн.","Sokol.ua,Tv-project.com,Moyo.ua,Panashop.com.ua,Horoshiy.com.ua,Repka.ua,Click24.in.ua"
https://s.ek.ua/jpg/526626.jpg,Canon EOS 760D,[None],Horoshiy.com.ua
https://s.ek.ua/jpg/144503.jpg,Olympus E-P3," ,27 486 грн., ,16 509 грн., ,17 505 грн., ,38 463 грн., ,16 509 грн., ,13 765 грн., ,27 486 грн.","click24.biz,Click24.in.ua,Ok24.in.ua,click24.biz,click24.biz,click24.biz,Click24.in.ua"
https://s.ek.ua/jpg/456647.jpg,Canon EOS 7D Mark II," ,40 500 грн., ,41 774 грн.","Horoshiy.com.ua,Click24.in.ua"
https://s.ek.ua/jpg/1396808.jpg,Sony RX100 VA,[None],Saren.com.ua
https://s.ek.ua/jpg/1516904.jpg,Panasonic DC-S1R,[None],Click24.in.ua
https://s.ek.ua/jpg/1362008.jpg,Panasonic DMC-FT7,[None],Panashop.com.ua
https://s.ek.ua/jpg/1244741.jpg,Panasonic DMC-TZ101," ,25 744 грн., ,27 399 грн.","Click24.in.ua,Click24.in.ua"
https://s.ek.ua/jpg/1838738.jpg,Nikon D6," ,267 868 грн., ,235 000 грн., ,262 907 грн., ,249 480 грн., ,230 000 грн., ,248 820 грн., ,355 014 грн.","Stylus.ua,KT-group.ua,Цифра,Ibelieve.com.ua,Horoshiy.com.ua,Fragment.com.ua,click24.biz"
https://s.ek.ua/jpg/922437.jpg,Canon EOS M5," ,46 202 грн., ,32 299 грн., ,48 392 грн., ,32 399 грн.","Denika.ua,Fragment.com.ua,Kvshop.com.ua,SellPoint"
