img_url,name,price_list,shop_list
https://s.ek.ua/jpg/147707.jpg,Olympus SP-810 UZ,3742,Euro-technika.com.ua
https://s.ek.ua/jpg/727212.jpg,Canon EOS 600D,18000,Horoshiy.com.ua
https://s.ek.ua/jpg/1232766.jpg,Sony A7r III,"109999,87000,94448,92563,109999,109999,109999","Sony Centre,KT-group.ua,Stylus.ua,Цифра,Repka.ua,Moyo.ua,Sokol.ua"
https://s.ek.ua/jpg/2139373.jpg,Nikon Z9,"215500,218628","KT-group.ua,ABCphoto.com.ua"
https://s.ek.ua/jpg/71388.jpg,Nikon D90,20000,Horoshiy.com.ua
https://s.ek.ua/jpg/342511.jpg,Sony H300,18687,Click24.in.ua
https://s.ek.ua/jpg/1559539.jpg,Panasonic DMC-G90,"27999,27999,27799","Panashop.com.ua,Tv-project.com,Panashop.com.ua"
https://s.ek.ua/jpg/92428.jpg,Olympus E-P2,"29708,29708,19168,12110,12110,16258","click24.biz,Click24.in.ua,Ok24.in.ua,Click24.in.ua,click24.biz,Ok24.in.ua"
https://s.ek.ua/jpg/1226879.jpg,Canon PowerShot G1 X Mark III,"62639,33000","Click24.in.ua,Horoshiy.com.ua"
https://s.ek.ua/jpg/1982006.jpg,Canon PowerShot Zoom,15141,FOXTROT.UA
https://s.ek.ua/jpg/1785917.jpg,Olympus OM-D E-M1 III,65000,Horoshiy.com.ua
https://s.ek.ua/jpg/1307892.jpg,Panasonic DC-GX9,"27351,27108,25870","Horoshiy.com.ua,Horoshiy.com.ua,Horoshiy.com.ua"
https://s.ek.ua/jpg/683573.jpg,Sony A68,18899,Click.ua
https://s.ek.ua/jpg/268684.jpg,Canon EOS 100D,15000,Horoshiy.com.ua
https://s.ek.ua/jpg/196068.jpg,Canon EOS 650D,18000,Horoshiy.com.ua
https://s.ek.ua/jpg/734532.jpg,Nikon D5100,21500,Horoshiy.com.ua
https://s.ek.ua/jpg/1712567.jpg,Sony A9 II,"149999,149999","Sony Centre,Moyo.ua"
https://s.ek.ua/jpg/2092937.jpg,Canon EOS R3,"234400,279176,279176,285904,337764","KT-group.ua,click24.biz,Click24.in.ua,Ok24.in.ua,Click24.in.ua"
https://s.ek.ua/jpg/2377082.jpg,Agfa DC8200,"6578,6578,6336,6578,6229,6578,6229","click24.biz,Click24.in.ua,Timesport.com.ua,click24.biz,Click24.in.ua,Click24.in.ua,click24.biz"
https://s.ek.ua/jpg/1644043.jpg,Sony A6100,"48918,48918,43451,57064,65950,40119,40119","click24.biz,Click24.in.ua,Ok24.in.ua,Click24.in.ua,Click24.in.ua,Click24.in.ua,click24.biz"
https://s.ek.ua/jpg/599426.jpg,Sony RX100 IV,"69561,68868,30794","Stylus.ua,Цифра,Smartmag.biz.ua"
https://s.ek.ua/jpg/2186685.jpg,Leica M11,"478115,478115,478752,478115,478115,478752","Click24.in.ua,click24.biz,Ok24.in.ua,Click24.in.ua,click24.biz,Ok24.in.ua"
https://s.ek.ua/jpg/1596256.jpg,Panasonic DC-S1H,"99999,109902,109902","Panashop.com.ua,click24.biz,Click24.in.ua"
https://s.ek.ua/jpg/1526788.jpg,Panasonic DC-TZ95,"27486,27486,29771,24176,24176","click24.biz,Click24.in.ua,Ok24.in.ua,Click24.in.ua,click24.biz"
https://s.ek.ua/jpg/1406116.jpg,Canon PowerShot SX740 HS,"25308,20691,31227,20691","Click24.in.ua,click24.biz,Ok24.in.ua,Click24.in.ua"
https://s.ek.ua/jpg/1098068.jpg,Sony A9,"153897,153897,161299,96000","click24.biz,Click24.in.ua,Tv-project.com,Horoshiy.com.ua"
https://s.ek.ua/jpg/926501.jpg,Fujifilm GFX-50S,"193014,193014,235426,171017,138254","click24.biz,Click24.in.ua,Ok24.in.ua,Click24.in.ua,Ok24.in.ua"
https://s.ek.ua/jpg/2190554.jpg,Olympus OM-1,"108856,108856","Click24.in.ua,click24.biz"
https://s.ek.ua/jpg/144460.jpg,Olympus E-PL3 kit 14-42,"11543,11543","click24.biz,Click24.in.ua"
https://s.ek.ua/jpg/1868049.jpg,Leica V-Lux 5,48125,Pixeltech.com.ua
https://s.ek.ua/jpg/1443696.jpg,Sony A6500,58853,Tv-project.com
https://s.ek.ua/jpg/1035947.jpg,Pentax KP,45085,Click24.in.ua
https://s.ek.ua/jpg/416840.jpg,Nikon D810,72000,Horoshiy.com.ua
https://s.ek.ua/jpg/727474.jpg,Canon EOS 60D kit,24000,Horoshiy.com.ua
https://s.ek.ua/jpg/195585.jpg,Sony RX100,21475,Click24.in.ua
https://s.ek.ua/jpg/1838738.jpg,Nikon D6,"235000,267868,262907,355014,355014,230000","KT-group.ua,Stylus.ua,Цифра,click24.biz,Click24.in.ua,Horoshiy.com.ua"
https://s.ek.ua/jpg/923076.jpg,Canon EOS M5,"54171,49162,37399","Kvshop.com.ua,Denika.ua,SellPoint"
https://s.ek.ua/jpg/1297722.jpg,Kodak AZ401,"8799,8799,13222,8400,8930,9148,8930","Click24.in.ua,click24.biz,Ok24.in.ua,Saren.com.ua,Click24.in.ua,Click24.in.ua,click24.biz"
https://s.ek.ua/jpg/2390166.jpg,Kodak AZ255,"11021,11021,13347,10106,10106,10106,10106","Click24.in.ua,click24.biz,Ok24.in.ua,Click24.in.ua,Click24.in.ua,click24.biz,click24.biz"
https://s.ek.ua/jpg/2432163.jpg,Kodak FZ45,"6621,6621","click24.biz,Click24.in.ua"
https://s.ek.ua/jpg/2366131.jpg,Kodak FZ55,"7100,7100,6403,6490,6403,6490","click24.biz,Click24.in.ua,Click24.in.ua,Click24.in.ua,click24.biz,click24.biz"
https://s.ek.ua/jpg/1911551.jpg,Olympus OM-D E-M10 IIIs,"31886,31886,27486,27486","click24.biz,Click24.in.ua,Click24.in.ua,click24.biz"
https://s.ek.ua/jpg/456647.jpg,Canon EOS 7D Mark II,"41774,40500","Click24.in.ua,Horoshiy.com.ua"
https://s.ek.ua/jpg/752884.jpg,Leica ,"272598,272598","click24.biz,Click24.in.ua"
https://s.ek.ua/jpg/2195870.jpg,EasyPix Aquapix W2024,"3073,3070,3189,3186,3070,3186,3070","Tomdom.prom.ua,Redprice.prom.ua,Tomdom.prom.ua,Redprice.prom.ua,Saren.com.ua,Saren.com.ua,Saren.com.ua"
https://s.ek.ua/jpg/1857278.jpg,Leica M10-R,250000,Horoshiy.com.ua
https://s.ek.ua/jpg/1626752.jpg,Leica D-Lux 7,73660,Click24.in.ua
https://s.ek.ua/jpg/1670619.jpg,Nikon Z50,"41798,42328,40499,40499,40499,40499,43269","Kvshop.com.ua,Palladium.ua,Stylus.ua,Цифра,Moyo.ua,Repka.ua,Tviy-Dim.com"
